Data Source	World Development Indicators																																																													
																																																														
Last Updated Date	24-01-19																																																													
																																																														
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Saudi Arabia	SAU	Rural population (% of total population)	SP.RUR.TOTL.ZS	68.75	67.627	66.482	64.989	63.128	61.231	59.298	57.335	55.346	53.345	51.331	49.312	47.293	45.288	43.296	41.651	40.103	38.579	37.075	35.595	34.14	32.719	31.327	29.967	28.64	27.353	26.1	25.411	24.733	24.07	23.417	22.777	22.149	21.814	21.571	21.33	21.09	20.853	20.617	20.384	20.152	19.923	19.696	19.47	19.246	19.021	18.796	18.573	18.351	18.133	17.916	17.698	17.48	17.26	17.04	16.82	16.599	16.378	
Saudi Arabia	SAU	Rural population growth (annual %)	SP.RUR.TOTL.ZG	1.405670971	1.540136511	1.648321356	1.193087793	0.591705241	0.441121678	0.273076923	0.152846429	0.110499232	0.179732259	0.292662802	0.421191819	0.50865555	0.554536198	0.515985169	1.226574745	1.328156826	1.273093545	1.32569482	1.524498509	1.758111429	1.97788059	2.018600842	1.838993492	1.420281744	0.888843511	0.337409283	1.950648964	1.538476166	1.170048823	0.808701592	0.488831388	0.188604651	1.205618513	1.375507281	1.169623111	0.958643063	0.80589421	0.775546998	0.91419045	1.144361717	1.421138037	1.643947671	1.770467597	1.780519254	1.695856194	1.584942947	1.512891995	1.486311071	1.54536949	1.62201118	1.694717938	1.720558301	1.641007526	1.458542658	1.204665892	0.928789812	0.69159103	
Saudi Arabia	SAU	Rural population	SP.RUR.TOTL	2809496	2853101	2900519	2935332	2952752	2965806	2973916	2978465	2981758	2987122	2995877	3008522	3023864	3040679	3056409	3094129	3135498	3175671	3218051	3267486	3325440	3391868	3461032	3525269	3575695	3607619	3619812	3691115	3748341	3792456	3823250	3841985	3849238	3895926	3949885	3996355	4034850	4067498	4099166	4136812	4184424	4244315	4314666	4391736	4470632	4547094	4619737	4690160	4760391	4834528	4913584	4997565	5084295	5168417	5244353	5307912	5357441	5394621	
Saudi Arabia	SAU	Completeness of death registration with cause-of-death information (%)	SP.REG.DTHS.ZS																																																		50.6			51						
Saudi Arabia	SAU	Completeness of birth registration (%)	SP.REG.BRTH.ZS																																																											
Saudi Arabia	SAU	"Completeness of birth registration, urban (%)"	SP.REG.BRTH.UR.ZS																																																											
Saudi Arabia	SAU	"Completeness of birth registration, rural (%)"	SP.REG.BRTH.RU.ZS																																																											
Saudi Arabia	SAU	"Completeness of birth registration, male (%)"	SP.REG.BRTH.MA.ZS																																																											
Saudi Arabia	SAU	"Completeness of birth registration, female (%)"	SP.REG.BRTH.FE.ZS																																																											
Saudi Arabia	SAU	"Population, male (% of total)"	SP.POP.TOTL.MA.ZS	50.21847365	50.23681652	50.2798961	50.33856877	50.40157882	50.46299967	50.52345837	50.58991048	50.67108307	50.77735438	50.91476098	51.08043121	51.27123608	51.49028298	51.74103608	52.02307859	52.33311292	52.66279241	53.0001068	53.32991344	53.64092309	53.92019006	54.1688141	54.40341984	54.64495598	54.90265684	55.18222033	55.46794356	55.72555783	55.91448535	56.01190925	56.02443563	55.96996345	55.85504392	55.68837674	55.48151922	55.2263542	54.93687216	54.67026347	54.49826556	54.46472117	54.585403	54.82881873	55.13440809	55.42616881	55.65614263	55.81554678	55.92423125	56.00076806	56.07150448	56.15407466	56.24426106	56.33501427	56.43519359	56.55526461	56.69936715	56.87418478	57.07023675	
Saudi Arabia	SAU	"Population, male"	SP.POP.TOTL.MA.IN	2052198	2119431	2193643	2273621	2357485	2444244	2533855	2628068	2729898	2843343	2971584	3116414	3278228	3457107	3652573	3864640	4091724	4334993	4600324	4895484	5224947	5589723	5984614	6399930	6822405	7241175	7653229	8057085	8445333	8809855	9144961	9450106	9726926	9975571	10197149	10394929	10565673	10715753	10869792	11060099	11309225	11628652	12010970	12436351	12874884	13304965	13718513	14122305	14527030	14949500	15400635	15882266	16385803	16899223	17405857	17892701	18356534	18797916	
Saudi Arabia	SAU	"Population, female (% of total)"	SP.POP.TOTL.FE.ZS	49.78152635	49.76318348	49.7201039	49.66143123	49.59842118	49.53700033	49.47654163	49.41008952	49.32891693	49.22264562	49.08523902	48.91956879	48.72876392	48.50971702	48.25896392	47.97692141	47.66688708	47.33720759	46.9998932	46.67008656	46.35907691	46.07980994	45.8311859	45.59658016	45.35504402	45.09734316	44.81777967	44.53205644	44.27444217	44.08551465	43.98809075	43.97556437	44.03003655	44.14495608	44.31162326	44.51848078	44.7736458	45.06312784	45.32973653	45.50173444	45.53527883	45.414597	45.17118127	44.86559191	44.57383119	44.34385737	44.18445322	44.07576875	43.99923194	43.92849552	43.84592534	43.75573894	43.66498573	43.56480641	43.44473539	43.30063285	43.12581522	42.92976325	
